Humidity,Rainfall
67,1014
42,689
91,1326
58,897
76,1131
35,598
84,1235
53,832
97,1404
61,936
48,767
73,1092
39,650
88,1287
55,858
69,1040
94,1365
45,728
81,1196
63,962
37,624
72,1079
51,806
86,1261
59,910
43,702
78,1157
96,1391
64,975
52,819
89,1300
46,741
74,1105
57,884
92,1339
68,1027
41,676
83,1222
54,845
79,1170
36,611
95,1378
62,949
49,780
87,1274
71,1066
44,715
82,1209
56,871
93,1352
38,637
77,1144
65,988
47,754
85,1248
53,832
98,1417
66,1001
34,585
75,1118
50,793
90,1313
60,923
40,663
80,1183
70,1053
43,702
99,1430
58,897
73,1092
46,741
91,1326
52,819
84,1235
39,650
67,1014
94,1365
55,858
78,1157
48,767
86,1261
63,962
97,1404
45,728
72,1079
57,884
89,1300
61,936
35,598
76,1131
51,806
88,1287
42,689
79,1170
64,975
92,1339
54,845
83,1222
68,1027
